season,date,home_team,away_team,home_runs,away_runs,home_win,run_diff,month,weekday,day_night,home_league,away_league,is_interleague,game_id,home_BA,home_OBP,home_SLG,home_OPS,home_season_runs,home_ERA,home_WHIP,away_BA,away_OBP,away_SLG,away_OPS,away_season_runs,away_ERA,away_WHIP
2016,2016-04-03,TBR,TOR,3.0,5.0,0,-2.0,4,Sunday,Day,AL,AL,0,446911,0.243,0.307,0.426,0.733,672,4.2,1.32,0.248,0.33,0.426,0.755,759.0,3.79,1.23
2016,2016-04-03,PIT,STL,4.0,1.0,1,3.0,4,Sunday,Day,NL,NL,0,446877,0.257,0.332,0.402,0.734,729,4.22,1.4,0.255,0.325,0.443,0.768,779.0,4.08,1.32
2016,2016-04-03,KCR,NYM,4.0,3.0,1,1.0,4,Sunday,Night,AL,NL,1,446873,0.261,0.312,0.4,0.712,675,4.21,1.35,0.246,0.316,0.417,0.733,671.0,3.58,1.27
2016,2016-04-04,ARI,COL,5.0,10.0,0,-5.0,4,Monday,Night,NL,NL,0,446869,0.261,0.32,0.432,0.752,752,5.09,1.49,0.275,0.336,0.457,0.794,845.0,4.92,1.45
2016,2016-04-04,TEX,SEA,3.0,2.0,1,1.0,4,Monday,Day,AL,AL,0,446876,0.262,0.322,0.433,0.755,765,4.38,1.37,0.259,0.326,0.43,0.756,768.0,4.0,1.28
2016,2016-04-04,TBR,TOR,3.0,5.0,0,-2.0,4,Monday,Night,AL,AL,0,446878,0.243,0.307,0.426,0.733,672,4.2,1.32,0.248,0.33,0.426,0.755,759.0,3.79,1.23
2016,2016-04-04,SDP,LAD,0.0,15.0,0,-15.0,4,Monday,Day,NL,NL,0,446871,0.235,0.299,0.39,0.689,686,4.44,1.38,0.249,0.319,0.409,0.728,725.0,3.7,1.19
2016,2016-04-04,OAK,CHW,3.0,4.0,0,-1.0,4,Monday,Night,AL,AL,0,446868,0.246,0.304,0.395,0.699,653,4.51,1.34,0.257,0.317,0.41,0.727,686.0,4.12,1.34
2016,2016-04-04,LAA,CHC,0.0,9.0,0,-9.0,4,Monday,Night,AL,NL,1,446889,0.26,0.322,0.405,0.726,717,4.28,1.39,0.256,0.343,0.429,0.772,808.0,3.15,1.11
2016,2016-04-04,CIN,PHI,6.0,2.0,1,4.0,4,Monday,Day,NL,NL,0,446874,0.256,0.316,0.408,0.724,716,4.91,1.45,0.24,0.301,0.385,0.685,610.0,4.64,1.35
2016,2016-04-04,BAL,MIN,3.0,2.0,1,1.0,4,Monday,Day,AL,AL,0,446872,0.256,0.317,0.443,0.76,744,4.22,1.36,0.251,0.316,0.421,0.738,722.0,5.09,1.45
2016,2016-04-04,ATL,WSN,3.0,4.0,0,-1.0,4,Monday,Day,NL,NL,0,446879,0.255,0.321,0.384,0.705,649,4.51,1.35,0.256,0.326,0.426,0.751,763.0,3.52,1.19
2016,2016-04-04,MIL,SFG,3.0,12.0,0,-9.0,4,Monday,Day,NL,NL,0,446875,0.244,0.322,0.407,0.729,671,4.1,1.38,0.258,0.329,0.398,0.728,715.0,3.69,1.21
2016,2016-04-05,KCR,NYM,0.0,2.0,0,-2.0,4,Tuesday,Day,AL,NL,1,446896,0.261,0.312,0.4,0.712,675,4.21,1.35,0.246,0.316,0.417,0.733,671.0,3.58,1.27
2016,2016-04-05,CLE,BOS,2.0,6.0,0,-4.0,4,Tuesday,Day,AL,AL,0,446867,0.262,0.329,0.43,0.759,777,3.86,1.24,0.282,0.348,0.461,0.81,878.0,4.0,1.27
2016,2016-04-05,TEX,SEA,2.0,10.0,0,-8.0,4,Tuesday,Night,AL,AL,0,446886,0.262,0.322,0.433,0.755,765,4.38,1.37,0.259,0.326,0.43,0.756,768.0,4.0,1.28
2016,2016-04-05,ARI,COL,11.0,6.0,1,5.0,4,Tuesday,Night,NL,NL,0,446882,0.261,0.32,0.432,0.752,752,5.09,1.49,0.275,0.336,0.457,0.794,845.0,4.92,1.45
2016,2016-04-05,OAK,CHW,4.0,5.0,0,-1.0,4,Tuesday,Night,AL,AL,0,446881,0.246,0.304,0.395,0.699,653,4.51,1.34,0.257,0.317,0.41,0.727,686.0,4.12,1.34
2016,2016-04-05,MIA,DET,7.0,8.0,0,-1.0,4,Tuesday,Night,NL,AL,1,446883,0.263,0.322,0.394,0.716,655,4.05,1.36,0.267,0.331,0.438,0.769,750.0,4.24,1.32
2016,2016-04-05,LAA,CHC,1.0,6.0,0,-5.0,4,Tuesday,Night,AL,NL,1,446880,0.26,0.322,0.405,0.726,717,4.28,1.39,0.256,0.343,0.429,0.772,808.0,3.15,1.11
2016,2016-04-05,TBR,TOR,3.0,2.0,1,1.0,4,Tuesday,Night,AL,AL,0,446887,0.243,0.307,0.426,0.733,672,4.2,1.32,0.248,0.33,0.426,0.755,759.0,3.79,1.23
2016,2016-04-05,NYY,HOU,3.0,5.0,0,-2.0,4,Tuesday,Day,AL,AL,0,446870,0.252,0.314,0.405,0.72,680,4.16,1.26,0.247,0.319,0.417,0.735,724.0,4.06,1.29
2016,2016-04-05,PIT,STL,6.0,5.0,1,1.0,4,Tuesday,Night,NL,NL,0,446910,0.257,0.332,0.402,0.734,729,4.22,1.4,0.255,0.325,0.443,0.768,779.0,4.08,1.32
2016,2016-04-05,SDP,LAD,0.0,3.0,0,-3.0,4,Tuesday,Night,NL,NL,0,446884,0.235,0.299,0.39,0.689,686,4.44,1.38,0.249,0.319,0.409,0.728,725.0,3.7,1.19
2016,2016-04-05,MIL,SFG,1.0,2.0,0,-1.0,4,Tuesday,Night,NL,NL,0,446885,0.244,0.322,0.407,0.729,671,4.1,1.38,0.258,0.329,0.398,0.728,715.0,3.69,1.21
2016,2016-04-06,MIA,DET,3.0,7.0,0,-4.0,4,Wednesday,Day,NL,AL,1,446892,0.263,0.322,0.394,0.716,655,4.05,1.36,0.267,0.331,0.438,0.769,750.0,4.24,1.32
2016,2016-04-06,TBR,TOR,5.0,3.0,1,2.0,4,Wednesday,Day,AL,AL,0,446901,0.243,0.307,0.426,0.733,672,4.2,1.32,0.248,0.33,0.426,0.755,759.0,3.79,1.23
2016,2016-04-06,ATL,WSN,1.0,3.0,0,-2.0,4,Wednesday,Night,NL,NL,0,446902,0.255,0.321,0.384,0.705,649,4.51,1.35,0.256,0.326,0.426,0.751,763.0,3.52,1.19
2016,2016-04-06,BAL,MIN,4.0,2.0,1,2.0,4,Wednesday,Night,AL,AL,0,446895,0.256,0.317,0.443,0.76,744,4.22,1.36,0.251,0.316,0.421,0.738,722.0,5.09,1.45
2016,2016-04-06,PIT,STL,5.0,1.0,1,4.0,4,Wednesday,Night,NL,NL,0,446900,0.257,0.332,0.402,0.734,729,4.22,1.4,0.255,0.325,0.443,0.768,779.0,4.08,1.32
2016,2016-04-06,CIN,PHI,3.0,2.0,1,1.0,4,Wednesday,Night,NL,NL,0,446897,0.256,0.316,0.408,0.724,716,4.91,1.45,0.24,0.301,0.385,0.685,610.0,4.64,1.35
2016,2016-04-06,OAK,CHW,2.0,1.0,1,1.0,4,Wednesday,Night,AL,AL,0,446890,0.246,0.304,0.395,0.699,653,4.51,1.34,0.257,0.317,0.41,0.727,686.0,4.12,1.34
2016,2016-04-06,ARI,COL,3.0,4.0,0,-1.0,4,Wednesday,Day,NL,NL,0,446891,0.261,0.32,0.432,0.752,752,5.09,1.49,0.275,0.336,0.457,0.794,845.0,4.92,1.45
2016,2016-04-06,MIL,SFG,4.0,3.0,1,1.0,4,Wednesday,Day,NL,NL,0,446898,0.244,0.322,0.407,0.729,671,4.1,1.38,0.258,0.329,0.398,0.728,715.0,3.69,1.21
2016,2016-04-06,TEX,SEA,5.0,9.0,0,-4.0,4,Wednesday,Day,AL,AL,0,446899,0.262,0.322,0.433,0.755,765,4.38,1.37,0.259,0.326,0.43,0.756,768.0,4.0,1.28
2016,2016-04-06,NYY,HOU,16.0,6.0,1,10.0,4,Wednesday,Night,AL,AL,0,446893,0.252,0.314,0.405,0.72,680,4.16,1.26,0.247,0.319,0.417,0.735,724.0,4.06,1.29
2016,2016-04-06,CLE,BOS,7.0,6.0,1,1.0,4,Wednesday,Night,AL,AL,0,446888,0.262,0.329,0.43,0.759,777,3.86,1.24,0.282,0.348,0.461,0.81,878.0,4.0,1.27
