season,date,home_team,away_team,home_runs,away_runs,home_win,run_diff,game_number,is_doubleheader,day_night,attendance,game_time_minutes,innings,is_extra_innings,month,weekday,home_league,away_league,is_interleague,game_id,home_BA,home_OBP,home_SLG,home_OPS,home_season_runs,home_ERA,home_WHIP,away_BA,away_OBP,away_SLG,away_OPS,away_season_runs,away_ERA,away_WHIP
2023,2023-03-30,KCR,MIN,0.0,2.0,0,-2.0,1,0,Day,,,,,3,Thursday,AL,AL,0,718775,0.244,0.303,0.398,0.7,676,5.17,1.41,0.243,0.326,0.428,0.753,778.0,3.87,1.2
2023,2023-03-30,NYY,SFG,5.0,0.0,1,5.0,1,0,Day,,,,,3,Thursday,AL,NL,1,718781,0.227,0.304,0.397,0.701,673,3.97,1.24,0.235,0.312,0.383,0.695,674.0,4.02,1.25
2023,2023-03-30,CHC,MIL,4.0,0.0,1,4.0,1,0,Day,,,,,3,Thursday,NL,NL,0,718777,0.254,0.33,0.421,0.751,819,4.09,1.28,0.24,0.319,0.385,0.704,728.0,3.73,1.19
2023,2023-03-30,WSN,ATL,2.0,7.0,0,-5.0,1,0,Day,,,,,3,Thursday,NL,NL,0,718780,0.254,0.314,0.396,0.709,700,5.02,1.47,0.276,0.344,0.501,0.845,947.0,4.14,1.3
2023,2023-03-30,SDP,COL,2.0,7.0,0,-5.0,1,0,Night,,,,,3,Thursday,NL,NL,0,718778,0.244,0.329,0.413,0.742,752,3.73,1.27,0.249,0.31,0.405,0.715,721.0,5.68,1.55
2023,2023-03-30,SEA,CLE,3.0,0.0,1,3.0,1,0,Night,,,,,3,Thursday,AL,AL,0,718767,0.242,0.321,0.413,0.734,758,3.74,1.19,0.25,0.313,0.381,0.695,662.0,3.97,1.31
2023,2023-03-30,CIN,PIT,4.0,5.0,0,-1.0,1,0,Day,,,,,3,Thursday,NL,NL,0,718773,0.249,0.327,0.42,0.746,783,4.83,1.42,0.239,0.315,0.392,0.707,692.0,4.61,1.38
2023,2023-03-30,MIA,NYM,3.0,5.0,0,-2.0,1,0,Day,,,,,3,Thursday,NL,NL,0,718774,0.259,0.316,0.405,0.721,666,4.21,1.29,0.238,0.316,0.407,0.723,717.0,4.3,1.36
2023,2023-03-30,LAD,AZ,8.0,2.0,1,6.0,1,0,Night,,,,,3,Thursday,NL,,1,718770,0.257,0.34,0.455,0.795,906,4.06,1.2,,,,,,,
2023,2023-03-30,TEX,PHI,11.0,7.0,1,4.0,1,0,Day,,,,,3,Thursday,AL,NL,1,718779,0.263,0.337,0.452,0.79,881,4.28,1.27,0.256,0.327,0.438,0.765,796.0,4.03,1.24
