model,n_components,k,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
NMF+KMeans,2,2,0.7812016887827024,92563.07535158671,0.28276484573543437,0.7846984752547251,23859.792912713252,0.28193849334250953
NMF+KMeans,2,3,0.8784597133892093,500622.57721818984,0.17104274752140003,0.8790501808081758,127485.2252626515,0.16906470997933518
NMF+KMeans,2,4,0.8458293713868222,553256.8963409271,0.21171795479401553,0.8461532906481141,138173.74202960538,0.21899326239999678
NMF+KMeans,2,5,0.692958640367463,538461.8903662353,0.39672476038266247,0.6924588539072225,137440.1876967295,0.3995136312051865
NMF+KMeans,2,6,0.5905010266399411,574301.1739916615,0.4991318356817769,0.5913557280570952,144658.1089015838,0.4987984466238138
NMF+KMeans,2,8,0.5725987001654436,682926.7551101485,0.4749942360328896,0.5729844437436076,177232.2130102318,0.4754377331581858
NMF+KMeans,2,10,0.5313334818498608,916248.4216445402,0.5216193426819646,0.525095305856805,227582.99328356108,0.5278932786697109
NMF+KMeans,3,2,0.4455570423513681,10160.574513951364,1.1507832983396593,0.4437546813267558,2524.548675819377,1.1606612588107985
NMF+KMeans,3,3,0.6813532670778848,38571.519139779964,0.48049170055618257,0.6802396990700232,9612.63057717415,0.4801060169919766
NMF+KMeans,3,4,0.6994995424450291,48849.59505308168,0.5142595673794684,0.7012424023008098,12438.523529408187,0.512765646340982
NMF+KMeans,3,5,0.7634293776310267,85257.03381469408,0.4114412911312956,0.7630477610852386,21584.723559411636,0.410039783269261
NMF+KMeans,3,6,0.7463145958661044,97155.54227803352,0.4683606605139829,0.7447210193271406,24341.212535791787,0.4624328982625034
NMF+KMeans,3,8,0.7751399462808148,120713.28257164887,0.5174782029576422,0.7739000389577269,30373.47555784748,0.5082492756311787
NMF+KMeans,3,10,0.7696762282894276,142667.60571350937,0.4494925490685713,0.7637959044299659,35050.32885453967,0.4836988106911696
NMF+KMeans,5,2,0.4351199285717677,13657.2150739173,1.016366102071661,0.4345998166486178,3418.318043103809,1.0174725740864352
NMF+KMeans,5,3,0.48191847130356597,15303.42421457633,0.7851966883864024,0.48020509714132936,3779.579337224322,0.7844282959172388
NMF+KMeans,5,4,0.5473198481546608,22002.576559267454,0.6811161672656562,0.5478227551939976,5515.453563654547,0.6794093397942621
NMF+KMeans,5,5,0.5475668817280487,24844.929065217453,0.6773048266495473,0.5493055759223913,6253.948576011734,0.6756713551359872
NMF+KMeans,5,6,0.5536741540306297,26945.745648676108,0.7547766752706934,0.5537563659215113,6711.895162146046,0.7476835193991304
NMF+KMeans,5,8,0.5018357272981043,24535.947947556688,0.8394731653676015,0.499920641132453,6136.091280307439,0.8401577077445161
NMF+KMeans,5,10,0.4770374226985856,22447.363901375484,0.9407716593496733,0.4783401681412158,5673.605414457615,0.9239591513727236
NMF+KMeans,8,2,0.20603918837794732,2891.612174729768,2.1757769248457186,0.20576476618763212,731.0334372568373,2.160116610596091
NMF+KMeans,8,3,0.3090204576740369,5333.3398211773865,1.3556207233248616,0.3042290377702414,1297.59965249009,1.3701617944689695
NMF+KMeans,8,4,0.3592210208988818,6597.129869120789,1.1131117765586678,0.35319745780272965,1603.7762294400618,1.1322464586536762
NMF+KMeans,8,5,0.373343196549799,7077.710231324958,0.9897194343561273,0.3681299762597245,1733.2474472999024,0.9934056214723459
NMF+KMeans,8,6,0.3277426056895074,6349.30485904127,1.0264535577358684,0.331695322442438,1581.4612247246769,1.0028387042994635
NMF+KMeans,8,8,0.39076137804172184,7041.03533147313,0.9872076156549858,0.39840235805983193,1776.2956841406435,0.9536871558452692
NMF+KMeans,8,10,0.38916293202580504,6666.287031853688,1.0596850114007825,0.39824293480915507,1708.5265137485253,1.0294263496431137
