model,n_components,k,cov,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
PCA+GMM,2,2,full,0.3438221865722572,9588.222015237374,1.1235481958528493,0.33655505810316333,2285.5926646981175,1.1476222317297518
PCA+GMM,2,2,tied,0.34384689899036297,9582.746131179083,1.1229502995948693,0.33645671341004363,2283.606043748607,1.147542493543162
PCA+GMM,2,2,diag,0.34368112063849904,9590.178124547694,1.1237845637202681,0.3367478814665368,2288.889627938273,1.1472527592849553
PCA+GMM,2,2,spherical,0.34383262952052845,9579.91568161706,1.1236564418378208,0.3366227329844575,2284.84738445251,1.1478407692326067
PCA+GMM,2,3,full,0.3361785707070295,9156.85729397354,0.9728548169721106,0.3332174178041325,2261.854776526904,0.9751708103730016
PCA+GMM,2,3,tied,0.34126683056911256,9622.670182448666,0.9461795617079685,0.33739537311312007,2360.0655772307146,0.9526554018326534
PCA+GMM,2,3,diag,0.3367437195056532,9204.630144546232,0.9669298077313228,0.33463608575716675,2277.1665675109202,0.9692876130234861
PCA+GMM,2,3,spherical,0.32873986267844385,9292.401177390242,0.9287616236785521,0.32577174891169586,2276.689874626093,0.9354265390693701
PCA+GMM,2,4,full,0.31077169336318117,8168.698767388795,0.991684583425083,0.30350854535766636,1962.408838445494,1.0114440503483193
PCA+GMM,2,4,tied,0.32458056879843733,9086.433228759039,0.9546963494488956,0.31742604260009666,2176.147283201274,0.9702529127649815
PCA+GMM,2,4,diag,0.3117603614113642,8166.252713830748,0.9889494334637178,0.30419200520856643,1941.2710672424041,1.008391306090256
PCA+GMM,2,4,spherical,0.3243615926326104,9184.215482253512,0.9542664922955557,0.3159575343258384,2191.994811114315,0.9752350314149234
PCA+GMM,2,5,full,0.3274962842282119,9182.103951015335,0.9010353569433527,0.326418189488121,2254.1481370689444,0.897878183287817
PCA+GMM,2,5,tied,0.31260200252977377,8697.311696458,0.8498903908613602,0.3128907707772107,2135.755839471918,0.853746105992521
PCA+GMM,2,5,diag,0.3333000412675,9561.918914599328,0.8742869936093639,0.3328630318118745,2359.3390474479356,0.8669481016581141
PCA+GMM,2,5,spherical,0.33406936582248165,9567.100369585774,0.8687303408425333,0.3335428307993085,2359.4742103414374,0.8607129282646137
PCA+GMM,2,6,full,0.29398062643231027,8508.080992345256,0.8886533157661961,0.2904978365731375,2083.147588910156,0.8924523637650807
PCA+GMM,2,6,tied,0.27775387012252384,7533.030288585991,0.8446082198832868,0.2840551176500335,1891.3136575414158,0.8487936786474876
PCA+GMM,2,6,diag,0.2998821005571593,8539.44321851146,0.881438015354755,0.29340153845755906,2068.394650124659,0.8790280361710568
PCA+GMM,2,6,spherical,0.31785444410914226,9105.77810376863,0.8620333193664452,0.31420016320178157,2234.0621461875294,0.8660136241277523
PCA+GMM,2,8,full,0.3126619403102479,9008.294013297884,0.9131210342301419,0.3121657424014663,2214.1496574628623,0.9159035234961483
PCA+GMM,2,8,tied,0.29236630986161855,8099.1529009058,0.8616868568849265,0.29653005566235463,2027.3624421256716,0.8540709009454612
PCA+GMM,2,8,diag,0.31153258067593553,8891.790886468867,0.8799852387419469,0.3057432958482813,2162.8356507184435,0.8804179552454752
PCA+GMM,2,8,spherical,0.32048246154453,9116.894800236525,0.8623296929551083,0.3157146780332968,2223.1120542429085,0.8655373165659773
PCA+GMM,2,10,full,0.3200421174593688,8985.594883462534,0.8558396491235307,0.3252044139490434,2220.4735247983067,0.8457380096695537
PCA+GMM,2,10,tied,0.3070797083827274,8044.133122745286,0.8085250785408542,0.3127666208847311,2024.4392022765503,0.803989407966732
PCA+GMM,2,10,diag,0.32050442181310274,8967.204244806866,0.8483926771287129,0.3242242142594109,2220.8417665663105,0.8403599039297687
PCA+GMM,2,10,spherical,0.32230107674594727,8992.214370822952,0.8346371825113348,0.32748932443388695,2237.994365334516,0.8280545660253494
PCA+GMM,3,2,full,0.4782827338787493,2499.6253470997844,0.6148186299549031,0.4694038173785023,598.249304429328,0.6170794717683874
PCA+GMM,3,2,tied,0.2713624837054749,6303.201549544112,1.3813042365973367,0.2645597050391263,1506.8751139863757,1.414166621564633
PCA+GMM,3,2,diag,0.4782827338787493,2499.6253470997844,0.6148186299549031,0.4694038173785023,598.249304429328,0.6170794717683874
PCA+GMM,3,2,spherical,0.26567813835737863,6076.655753793919,1.3860206194810691,0.25822162366381834,1441.0644489324325,1.4208765949991813
PCA+GMM,3,3,full,0.30977075386835234,5755.4252264396055,1.0316884169778269,0.30496788803967995,1379.5128756637127,1.0450585088267237
PCA+GMM,3,3,tied,0.26341199142419536,5546.181800377558,1.3457552275024092,0.26350711069595134,1402.7823932073338,1.3285901816382293
PCA+GMM,3,3,diag,0.31027443068855914,5771.920870058916,1.026647974563866,0.3057954117767387,1381.0488907384793,1.0421637113802678
PCA+GMM,3,3,spherical,0.26744244173345977,3452.043520099046,2.414542708810513,0.2565267542889501,793.2012334148653,2.6064530373752857
PCA+GMM,3,4,full,0.25400115316098565,5643.167028339734,1.1012614361068565,0.25285287034145437,1387.402272247702,1.090666586186784
PCA+GMM,3,4,tied,0.2274719909479615,5237.143599479463,1.287763184234765,0.2235333071942689,1272.7220625645573,1.2874602935332429
PCA+GMM,3,4,diag,0.2806005976521856,6119.345953860037,1.010096709055005,0.28134429055637306,1510.9550702550857,0.994320642826595
PCA+GMM,3,4,spherical,0.2611025460671597,4431.063784192844,1.571611443017038,0.2528366250417769,1037.9589318478108,1.7347360173575739
PCA+GMM,3,5,full,0.26584823622214987,6051.828232518644,1.0466072203166807,0.26381495818915024,1481.1611838001795,1.0431509705883084
PCA+GMM,3,5,tied,0.27383083956968074,6304.131412129173,1.0443299189642068,0.27180416096349985,1536.5675106381113,1.0350757240202326
PCA+GMM,3,5,diag,0.2675542176482197,6264.28730549005,1.013877394627284,0.2654109265589738,1530.172146284242,1.0020033627440215
PCA+GMM,3,5,spherical,0.27640531110655486,6519.792435952553,1.036075963333848,0.2754197720643498,1597.8527056434605,1.0247820361472666
PCA+GMM,3,6,full,0.2653135025459513,6133.073637531603,1.0199604270653229,0.26475406682257135,1494.5660760330816,1.018461856100248
PCA+GMM,3,6,tied,0.2651521480557804,6118.808018724409,0.9600605390364979,0.26392697934388293,1487.4037266993575,0.9659502992287038
PCA+GMM,3,6,diag,0.27666324766619965,6435.625583600442,0.9934532122950337,0.27469715894798585,1576.3521304731617,0.9908863176479814
PCA+GMM,3,6,spherical,0.2776912048273721,6454.750957816102,0.9893195528457324,0.27561571661711637,1580.4667581873566,0.9865913725433956
PCA+GMM,3,8,full,0.2399956431746659,5540.941730089796,1.170118328189595,0.2382118044115846,1359.655916578313,1.1793396372291172
PCA+GMM,3,8,tied,0.22983833400075335,5195.989767273154,1.0005127403464558,0.2294502762497486,1266.6581291419543,1.0142546597626492
PCA+GMM,3,8,diag,0.25072065770968294,5739.745085404711,1.0811164370348219,0.24737497120490748,1395.4339935231765,1.1055886989605446
PCA+GMM,3,8,spherical,0.25387847243691863,5822.461371172494,1.0776566166927222,0.25059459150436164,1413.453524841119,1.0968177942061839
PCA+GMM,3,10,full,0.23396374193567193,5079.515882485706,1.1445672016127317,0.23570270904274152,1243.2159685756455,1.1323903663834047
PCA+GMM,3,10,tied,0.2465184047233731,5242.806759855063,1.0158307767214292,0.24702655423205283,1288.5481716071133,1.0169288095148812
PCA+GMM,3,10,diag,0.2414202873655556,5375.147691804636,1.1116569930568416,0.24072247991735285,1314.4592813881447,1.1034106568299458
PCA+GMM,3,10,spherical,0.241124891196766,5414.4502811569255,1.1027095246221914,0.2411315732973607,1324.0684996607997,1.097929253627008
PCA+GMM,5,2,full,0.49679804124228766,2766.6180724733053,0.6292534391491816,0.49284705404901674,673.2899698126231,0.6370871244763294
PCA+GMM,5,2,tied,0.2164752534392207,4532.073696194318,1.6759291555565066,0.20992574550885457,1081.3554445504012,1.7209019243334749
PCA+GMM,5,2,diag,0.49679804124228766,2766.6180724733053,0.6292534391491816,0.49284705404901674,673.2899698126231,0.6370871244763294
PCA+GMM,5,2,spherical,0.21063548724685338,4394.500455258358,1.6928228765446922,0.20451590868677164,1045.055113618645,1.738004256497942
PCA+GMM,5,3,full,0.041725912836456706,1453.4794984135572,5.5052135321513225,0.03474394297920375,354.5628475250932,5.337481644489842
PCA+GMM,5,3,tied,0.18939925617595613,3377.5248439842985,1.5220807840902655,0.18393252853173586,807.3895212346395,1.5623516715607355
PCA+GMM,5,3,diag,0.13506837776277134,2453.615442901776,2.0206175005657143,0.13622568604505234,608.7725334540582,2.001406076599684
PCA+GMM,5,3,spherical,0.2542154709542306,4719.380691313379,1.2212947462745738,0.24881046144424881,1135.9359321215452,1.243006505804493
PCA+GMM,5,4,full,0.09764700574710528,2080.682207481338,2.9241901700893393,0.0898299429934288,501.7083984144623,2.914198279356186
PCA+GMM,5,4,tied,0.11236099429675542,2409.078911221915,2.7511428412102923,0.10334763522383547,576.7177682732853,2.7791601993124635
PCA+GMM,5,4,diag,0.0880743799963386,1861.0575142919247,2.6962455575243456,0.08809811960996367,461.7273605054218,2.7146886640302967
PCA+GMM,5,4,spherical,0.23016016287496213,4727.357575046819,1.1933931658159458,0.23028944402697854,1162.3940656867808,1.1917164352984815
PCA+GMM,5,5,full,0.04903652113444238,1580.5770245008114,3.7031946518255836,0.05680781716166633,395.5443532251558,3.607629642090296
PCA+GMM,5,5,tied,0.05656532827064353,1760.7964344561358,4.078488914464302,0.056677652021901226,435.6553052186855,3.9539802917854336
PCA+GMM,5,5,diag,0.18554603770327033,3987.554243376834,1.389897299519129,0.18328169848675127,961.037378003313,1.3993188058467756
PCA+GMM,5,5,spherical,0.2109195830825284,4472.140740922889,1.265426818618946,0.20621694792003464,1078.108241441671,1.2820287395678043
