model,n_components,k,cov,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
SVD+GMM,2,2,full,0.34382364991658504,9588.256542843648,1.1235450273491432,0.33655643987488587,2285.601084778715,1.1476197281523153
SVD+GMM,2,2,tied,0.34384843898930445,9582.782648161381,1.1229470436147124,0.3364583518246947,2283.616000844602,1.1475395868223157
SVD+GMM,2,2,diag,0.3436828097361355,9590.217972885728,1.1237810409821112,0.3367497026362227,2288.900729362537,1.1472494403736102
SVD+GMM,2,2,spherical,0.34383427465962185,9579.954381487081,1.1236530385579346,0.336624497314778,2284.8582799906744,1.1478375853856468
SVD+GMM,2,3,full,0.3362038317169859,9158.833951131084,0.9727836039269985,0.33322110489335977,2261.8895194599204,0.9751588326550403
SVD+GMM,2,3,tied,0.3412759117542413,9623.10708694973,0.9462955118671861,0.33738981205133917,2359.9124719174342,0.9527057587986594
SVD+GMM,2,3,diag,0.33674956357016106,9205.81702994012,0.9669391899718423,0.334629194451338,2277.307400003312,0.9693270526894094
SVD+GMM,2,3,spherical,0.32877529124151705,9293.561425650676,0.9287437222911956,0.3258890544855364,2277.7142564256733,0.9354067813273482
SVD+GMM,2,4,full,0.31077580821044504,8168.878068091785,0.9916609789944626,0.30350954790909634,1962.4206636195495,1.0114517191236019
SVD+GMM,2,4,tied,0.32457804939032,9086.410516601793,0.9547046357298109,0.31742322511839216,2176.1408985174007,0.9702662506382549
SVD+GMM,2,4,diag,0.31176039488651575,8166.278705175225,0.9889568205759025,0.30419177712313417,1941.2780939001602,1.00839606240008
SVD+GMM,2,4,spherical,0.32436100276349245,9184.247442097832,0.9542733931002642,0.3159582699525706,2192.0073550743928,0.9752424339656679
SVD+GMM,2,5,full,0.32749283312555894,9182.074638630522,0.9010338026764394,0.3264128704107913,2254.137285865724,0.8978786653569827
SVD+GMM,2,5,tied,0.31261636571979473,8698.07265435644,0.8498681248198323,0.31288202264298376,2135.7169959817043,0.85375828326125
SVD+GMM,2,5,diag,0.3332941404217864,9561.81549523641,0.8742879658459219,0.33285305925166336,2359.2959916693426,0.8669567375740026
SVD+GMM,2,5,spherical,0.3340654668531334,9567.032181331677,0.8687303884648081,0.33353600345576395,2359.44881547,0.8607256084655637
SVD+GMM,2,6,full,0.2939778181725965,8508.078485526932,0.8886462063202427,0.29049254184955453,2083.136282080615,0.8924475315443834
SVD+GMM,2,6,tied,0.2777838340125814,7533.837727900454,0.8446036514894052,0.28388505764286104,1890.1879117407987,0.8489049066542722
